__time,/qualisys/ship_deck_platform/pose/pose/position/z
1744111519.55556,1.541869873
1744111519.57596,1.543946777
1744111519.57751,1.545840698
1744111519.59063,1.547831055
1744111519.60759,1.549755005
1744111519.60801,1.551705688
1744111519.62076,1.553546387
1744111519.6393,1.555646851
1744111519.64033,1.557391724
1744111519.65112,1.559408569
1744111519.67182,1.56132312
1744111519.6721,1.563256958
1744111519.67673,1.56523938
1744111519.69051,1.567121704
1744111519.6961,1.569118652
1744111519.71013,1.570939819
1744111519.7158,1.572876831
1744111519.73477,1.574782227
1744111519.73584,1.576838013
1744111519.74579,1.578606323
1744111519.76635,1.580605713
1744111519.76749,1.582372314
1744111519.78046,1.584392456
1744111519.79763,1.586123779
1744111519.80121,1.588154907
1744111519.80993,1.589964844
1744111519.82928,1.592005005
1744111519.83019,1.593728882
1744111519.83973,1.595592407
1744111519.861,1.597614258
1744111519.86243,1.599402588
1744111519.86624,1.601401001
1744111519.88051,1.603194336
1744111519.88982,1.605139648
1744111519.90064,1.606974976
1744111519.91208,1.609029053
1744111519.91612,1.610831787
1744111519.92603,1.612852783
1744111519.94051,1.614624756
1744111519.95091,1.616574951
1744111519.96035,1.61843689
1744111519.96612,1.620373291
1744111519.98018,1.622218994
1744111519.98663,1.624103638
1744111520.00065,1.625998657
1744111520.01036,1.627779175
1744111520.01645,1.629727051
1744111520.02611,1.631437744
1744111520.03659,1.633396729
1744111520.05352,1.635119873
1744111520.05576,1.63708313
1744111520.06627,1.638878784
1744111520.089,1.640861084
1744111520.09336,1.642532471
1744111520.10149,1.644513916
1744111520.11132,1.646335937
1744111520.12067,1.648327271
1744111520.13009,1.65023584
1744111520.13727,1.652137573
1744111520.1455,1.653907349
1744111520.16047,1.655675049
1744111520.1653,1.657525513
1744111520.17568,1.659350586
1744111520.19039,1.661350708
1744111520.2002,1.663008667
1744111520.20603,1.664918579
1744111520.22003,1.666714111
1744111520.22569,1.668662476
1744111520.23569,1.670378784
1744111520.24724,1.672364746
1744111520.26051,1.673987549
1744111520.26682,1.67592334
1744111520.28031,1.677601196
1744111520.28982,1.679622803
1744111520.30824,1.681390869
1744111520.309,1.683341187
1744111520.32044,1.685014771
1744111520.34013,1.686995239
1744111520.34115,1.688700806
1744111520.3499,1.690647461
1744111520.3721,1.692458496
1744111520.37291,1.694432739
1744111520.38006,1.696150146
1744111520.38583,1.698103394
1744111520.40303,1.699848755
1744111520.40996,1.701639282
1744111520.42626,1.703556274
1744111520.43513,1.70535376
1744111520.44723,1.707126709
1744111520.45237,1.708993774
1744111520.46115,1.710850586
1744111520.46581,1.712589355
1744111520.48053,1.714403198
1744111520.49704,1.716103394
1744111520.49781,1.718067383
1744111520.50985,1.719702637
1744111520.52943,1.721686401
1744111520.53018,1.723377075
1744111520.53588,1.725215942
1744111520.54608,1.726908569
1744111520.56012,1.728842163
1744111520.56604,1.730574097
1744111520.57664,1.73252417
1744111520.59055,1.734219971
1744111520.59634,1.736129883
1744111520.6101,1.737916138
1744111520.61583,1.739848999
1744111520.63061,1.741554443
1744111520.6406,1.743390015
1744111520.64536,1.745154541
1744111520.66031,1.747056885
1744111520.66612,1.748734131
1744111520.6804,1.750626587
1744111520.68589,1.752361572
1744111520.70129,1.754174438
1744111520.70621,1.755971313
1744111520.72085,1.757749023
1744111520.72557,1.759533447
1744111520.75588,1.76124292
1744111520.75698,1.763183105
1744111520.75876,1.764747192
1744111520.76994,1.766764648
1744111520.78075,1.768402222
1744111520.78956,1.770427246
1744111520.79605,1.771994385
1744111520.81062,1.774103271
1744111520.8167,1.775498047
1744111520.83111,1.777761963
1744111520.83577,1.779198364
1744111520.84678,1.781314453
1744111520.85624,1.782730347
1744111520.8702,1.784879517
1744111520.88055,1.786354492
1744111520.8851,1.788508423
1744111520.9003,1.790078613
1744111520.90578,1.792036621
